what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041393889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041425001
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361041429600
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1361041430869
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361041434128
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361041487775
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1361041491051
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1361041494036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041494745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041537890
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361041538299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041544839
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041573594
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1361041575957
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361041580574
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361041598270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041598420
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041601877
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041604291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041637098
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041638421
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041642831
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361041642836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041653736
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041657622
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1361041691664
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361041692061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042092083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042098069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042100439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042105083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042105948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042107973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042110296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361042111273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361043993111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361044011626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361044897277
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361044925215
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045211477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045216845
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045355977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1361045412863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045413572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045621510
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361045624137
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361046087981
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361046088697
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1361046091168
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361046092330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361046112665
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1361046115077
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361046120005
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361046139383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361046139567
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361046150334
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361046150338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361047132568
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361047135769
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361051891910
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1361051893196
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1361051895470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361051899423
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361051900399
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1361051900575
stopped,bundle,com.eviware.soapui.eclipse,4.0.1.wso2v1,"com.eviware.soapui.eclipse",1361051900887
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1361051900888
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1361051900889
stopped,bundle,org.eclipse.bpel.apache.ode.runtime,0.5.0.wso2v2,"org.eclipse.bpel.apache.ode.runtime",1361051900889
stopped,bundle,org.wso2.developerstudio.eclipse.bpel.connector,2.1.0,"org.wso2.developerstudio.eclipse.bpel.connector",1361051900889
stopped,bundle,org.eclipse.bpel.runtimes,0.5.0.wso2v2,"org.eclipse.bpel.runtimes",1361051900889
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1361051900890
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1361051900891
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1361051900891
